label,landmark,encoding
ሀ,"[[-0.4799700422547131, 0.2514563552121448], [-0.1965273226151922, 0.7683430713428244], [0.008213370995480881, 0.8163266130639151], [0.165503882818706, 0.845151643106854], [0.3253547535734233, 1.0], [0.046234649307761014, 0.23207581946218356], [0.2288249167176869, 0.16423903881654034], [0.3562263230667285, 0.1335340523557845], [0.4780124317205682, 0.07816242204002363], [0.01931254361321698, 0.09139570076655842], [0.23102330582030225, 0.0331723804254649], [0.387067512448942, 0.021956036001091528], [0.5043942166714303, -0.009777051161803923], [-0.014737239027122461, -0.07880584167901213], [0.2032335522225737, -0.08741201933096324], [0.3419728136940092, -0.04574369227225601], [0.4651372872405471, -0.04080613802286803], [-0.050809953893855404, -0.24466567854972962], [0.14510981376866938, -0.2134970720410695], [0.27171721870444693, -0.15017592841778946], [0.39161283366054167, -0.10634442925130856]]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ሀ,"[[-0.6173254535443323, 0.2872967121860657], [-0.25276852279645773, 0.7968294089198329], [0.010563832173971438, 0.8327469805515268], [0.21286695112147294, 0.8521355761905661], [0.41846313963472226, 1.0], [0.059465848575253034, 0.23394332217646233], [0.29430887984468346, 0.15304965074783328], [0.45816937952743336, 0.11357942689436133], [0.6148076238790113, 0.04928879991122454], [0.02483931015593865, 0.09206069349452879], [0.2971363928775048, 0.01912221089792955], [0.49783654528174515, -0.0022821890842089254], [0.6487392152833291, -0.04215911234376864], [-0.018954667928173703, -0.07950140199271556], [0.26139390744442664, -0.10219222141183901], [0.4398368725718374, -0.06851021798702986], [0.5982479353446177, -0.07132776865568664], [-0.06535049080301807, -0.2465026136782754], [0.18663661002187865, -0.22718624861519818], [0.3494758849626519, -0.17062800173678383], [0.5036826236437908, -0.13353574691128114]]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ሀ,"[[-0.6082608278002708, 0.5180832689262641], [-0.036530243254180854, 0.9802612806592933], [0.27252220851462966, 0.9384825365793887], [0.5073820809118683, 0.8971071670167049], [0.7861676360044375, 1.0], [0.14045567465242126, 0.24596871917362306], [0.38073692499057427, 0.08099790343164971], [0.5537029135609467, -0.014914251464734112], [0.710734393744008, -0.13663691049874488], [0.05689854721238849, 0.09634277645640392], [0.3420273971762338, -0.0713509461980054], [0.5623098585397718, -0.15835922015286538], [0.7204940401141182, -0.2506766894921781], [-0.04631342940594293, -0.08398031859283624], [0.2636442001398979, -0.19736627195635997], [0.47599219078776495, -0.2151105457257587], [0.65426418541743, -0.2678654885497686], [-0.15104079245886678, -0.258331177037191], [0.1399861522218851, -0.3153348663438266], [0.3418454959318126, -0.30232489256081585], [0.5278508366512494, -0.3086286060739364]]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ሀ,"[[-0.6173254535443323, 0.2872967121860657], [-0.25276852279645773, 0.7968294089198329], [0.010563832173971438, 0.8327469805515268], [0.21286695112147294, 0.8521355761905661], [0.41846313963472226, 1.0], [0.059465848575253034, 0.23394332217646233], [0.29430887984468346, 0.15304965074783328], [0.45816937952743336, 0.11357942689436133], [0.6148076238790113, 0.04928879991122454], [0.02483931015593865, 0.09206069349452879], [0.2971363928775048, 0.01912221089792955], [0.49783654528174515, -0.0022821890842089254], [0.6487392152833291, -0.04215911234376864], [-0.018954667928173703, -0.07950140199271556], [0.26139390744442664, -0.10219222141183901], [0.4398368725718374, -0.06851021798702986], [0.5982479353446177, -0.07132776865568664], [-0.06535049080301807, -0.2465026136782754], [0.18663661002187865, -0.22718624861519818], [0.3494758849626519, -0.17062800173678383], [0.5036826236437908, -0.13353574691128114]]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ሀ,"[[-0.6173254535443323, 0.2872967121860657], [-0.25276852279645773, 0.7968294089198329], [0.010563832173971438, 0.8327469805515268], [0.21286695112147294, 0.8521355761905661], [0.41846313963472226, 1.0], [0.059465848575253034, 0.23394332217646233], [0.29430887984468346, 0.15304965074783328], [0.45816937952743336, 0.11357942689436133], [0.6148076238790113, 0.04928879991122454], [0.02483931015593865, 0.09206069349452879], [0.2971363928775048, 0.01912221089792955], [0.49783654528174515, -0.0022821890842089254], [0.6487392152833291, -0.04215911234376864], [-0.018954667928173703, -0.07950140199271556], [0.26139390744442664, -0.10219222141183901], [0.4398368725718374, -0.06851021798702986], [0.5982479353446177, -0.07132776865568664], [-0.06535049080301807, -0.2465026136782754], [0.18663661002187865, -0.22718624861519818], [0.3494758849626519, -0.17062800173678383], [0.5036826236437908, -0.13353574691128114]]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ሀ,"[[0.1881586969583327, 0.8795470137506558], [0.6274399281304801, 0.9243190809405628], [0.686817229274112, 0.6390754089226938], [0.7710116178809779, 0.476300770890829], [1.0, 0.4655542621814516], [0.1785916378446818, 0.09809238270385862], [0.30899396331354556, -0.07095376147176703], [0.43106607537462993, -0.1639792814346274], [0.5445161225909746, -0.2481445290830501], [0.046965503027413896, 0.004057316962891831], [0.173676467151169, -0.21736135904995563], [0.3509966531117922, -0.2973842179578879], [0.5295520524510018, -0.3262248909279565], [-0.06831354834449152, -0.04560147894029573], [0.06715449960241475, -0.261142737576745], [0.27398507278169565, -0.2901016118960328], [0.4563862618989213, -0.31810800339145756], [-0.1572435925276043, -0.05654822072645472], [-0.018750490455976904, -0.24091517818220398], [0.16264468666162882, -0.2790489521083152], [0.33802201001532717, -0.28679366969575637]]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ሀ,"[[0.18815869695833476, 0.8447648111202289], [0.6274399281304819, 0.8041404837917087], [0.6868172292741129, 0.5067458093835626], [0.7710116178809782, 0.32724607736741745], [1.0, 0.27191301473328044], [0.17859163784468177, 0.06354087761231303], [0.308993963313545, -0.13123611788085507], [0.4310660753746289, -0.2482126387415542], [0.5445161225909733, -0.35463242657889005], [0.046965503027413875, -0.005074312647059558], [0.17367646715116825, -0.25161477327859566], [0.350996653111791, -0.36631348673019065], [0.5295520524510003, -0.4299635672331553], [-0.06831354834449158, -0.03240195922295055], [0.067154499602414, -0.27475697678165767], [0.27398507278169454, -0.34402822252080784], [0.4563862618989199, -0.40759072089203285], [-0.15724359252760423, -0.02606460574230332], [-0.018750490455977507, -0.23776896508367415], [0.1626446866616279, -0.31128420233403997], [0.33802201001532606, -0.3531757976240825]]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ሀ,"[[0.4333438051863269, 0.7156656498464338], [0.8231708647309169, 0.5427371821898752], [0.7856792431583469, 0.25198132923633376], [0.8073437767796116, 0.06154899048264498], [1.0, -0.059882115319309], [0.18321958368303948, 0.003026643202401721], [0.24249026719053252, -0.21567558962022343], [0.31816717276068984, -0.36053958231190325], [0.3892078632055778, -0.4930698872672325], [0.041452298703050554, -0.01915812582334733], [0.08134928746107854, -0.2841348175127381], [0.20833671316249364, -0.44398137254415865], [0.3522271730511921, -0.5574494168009335], [-0.0725853122404295, -0.008574308366462722], [-0.023373803951941666, -0.2724226887727027], [0.14467981375326178, -0.3997753525735895], [0.2921200445025138, -0.514351337621911], [-0.15208657014566054, 0.02470579098740833], [-0.09063454779598604, -0.21200143292170143], [0.052809263311602274, -0.3353832362096858], [0.20051096387665782, -0.42793881128306266]]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ሀ,"[[-0.14421927191002543, 0.9595050382210168], [0.250232070113462, 1.0], [0.6194862445529347, 0.6622716976207574], [0.5373738601114417, 0.5880816401215656], [0.7873918269978625, 0.5459132819495309], [0.07035559806423727, 0.06272047121019361], [0.3300716584886647, 0.032501895083725654], [0.4667893253754932, -0.14597260100618875], [0.605947537074033, -0.09798770662220374], [0.06604319666163651, 0.038444049408687224], [0.3090848629510019, -0.27242279785574924], [0.5891504303400809, -0.23592844840503216], [0.61331900092659, -0.2386227206332579], [-0.017927840827190004, 0.008829249653157331], [0.1449291301476419, -0.2113175306522236], [0.3471032948462868, -0.2837283054054088], [0.6385874488769738, -0.2951468696991481], [-0.11847095389868362, -0.10999377027203831], [-0.08855122850500731, -0.19634100346991834], [0.14098281130414486, -0.29011918783553015], [0.3350763634744211, -0.20947019672166506]]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ሀ,"[[0.18815869695833476, 0.8447648111202289], [0.6274399281304819, 0.8041404837917087], [0.6868172292741129, 0.5067458093835626], [0.7710116178809782, 0.32724607736741745], [1.0, 0.27191301473328044], [0.17859163784468177, 0.06354087761231303], [0.308993963313545, -0.13123611788085507], [0.4310660753746289, -0.2482126387415542], [0.5445161225909733, -0.35463242657889005], [0.046965503027413875, -0.005074312647059558], [0.17367646715116825, -0.25161477327859566], [0.350996653111791, -0.36631348673019065], [0.5295520524510003, -0.4299635672331553], [-0.06831354834449158, -0.03240195922295055], [0.067154499602414, -0.27475697678165767], [0.27398507278169454, -0.34402822252080784], [0.4563862618989199, -0.40759072089203285], [-0.15724359252760423, -0.02606460574230332], [-0.018750490455977507, -0.23776896508367415], [0.1626446866616279, -0.31128420233403997], [0.33802201001532606, -0.3531757976240825]]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
